regime,target_name,half,model,n_train_rows,n_features,coefficient_l2_norm
disjoint_refit,sleep_in_bed,early,combined_own_history,6280,8,0.1309676868111569
disjoint_refit,sleep_in_bed,early,cross_domain_history,6280,29,2.083684440270727
disjoint_refit,sleep_in_bed,late,calendar,6422,3,0.04818734252818628
disjoint_refit,sleep_in_bed,late,lag1_history,6422,4,0.08513577901886808
disjoint_refit,sleep_in_bed,late,short_window_history,6422,5,0.12663003216154717
disjoint_refit,sleep_in_bed,late,recent_history,6422,6,0.1247256649336657
disjoint_refit,sleep_in_bed,late,long_horizon_fingerprint,6422,5,0.13822901766770831
disjoint_refit,sleep_in_bed,late,combined_own_history,6422,8,0.11818735050318346
disjoint_refit,sleep_in_bed,late,cross_domain_history,6422,29,1.6980471472323602
fixed_refit,steps_sum,early,calendar,13104,3,0.1515029940033396
fixed_refit,steps_sum,early,lag1_history,13104,4,0.45042074721824316
fixed_refit,steps_sum,early,short_window_history,13104,5,0.5547925062033774
fixed_refit,steps_sum,early,recent_history,13104,6,0.5474702588724945
fixed_refit,steps_sum,early,long_horizon_fingerprint,13104,5,0.6248135419742362
fixed_refit,steps_sum,early,combined_own_history,13104,8,0.5188363425269363
fixed_refit,steps_sum,early,cross_domain_history,13104,29,0.9039675601925558
fixed_refit,steps_sum,late,calendar,13104,3,0.1515029940033396
fixed_refit,steps_sum,late,lag1_history,13104,4,0.45042074721824316
fixed_refit,steps_sum,late,short_window_history,13104,5,0.5547925062033774
fixed_refit,steps_sum,late,recent_history,13104,6,0.5474702588724945
fixed_refit,steps_sum,late,long_horizon_fingerprint,13104,5,0.6248135419742362
fixed_refit,steps_sum,late,combined_own_history,13104,8,0.5188363425269363
fixed_refit,steps_sum,late,cross_domain_history,13104,29,0.9039675601925558
expanding_refit,steps_sum,early,calendar,13104,3,0.1515029940033396
expanding_refit,steps_sum,early,lag1_history,13104,4,0.45042074721824316
expanding_refit,steps_sum,early,short_window_history,13104,5,0.5547925062033774
expanding_refit,steps_sum,early,recent_history,13104,6,0.5474702588724945
expanding_refit,steps_sum,early,long_horizon_fingerprint,13104,5,0.6248135419742362
expanding_refit,steps_sum,early,combined_own_history,13104,8,0.5188363425269363
expanding_refit,steps_sum,early,cross_domain_history,13104,29,0.9039675601925558
expanding_refit,steps_sum,late,calendar,17007,3,0.13717157267483515
expanding_refit,steps_sum,late,lag1_history,17007,4,0.44401185458078285
expanding_refit,steps_sum,late,short_window_history,17007,5,0.5426180258929345
expanding_refit,steps_sum,late,recent_history,17007,6,0.5333847305348689
expanding_refit,steps_sum,late,long_horizon_fingerprint,17007,5,0.6173003526339262
expanding_refit,steps_sum,late,combined_own_history,17007,8,0.5189283729296853
expanding_refit,steps_sum,late,cross_domain_history,17007,29,1.8939815571934184
disjoint_refit,steps_sum,early,calendar,6864,3,0.22034393205631703
disjoint_refit,steps_sum,early,lag1_history,6864,4,0.4841741661866569
disjoint_refit,steps_sum,early,short_window_history,6864,5,0.6123949664608955
disjoint_refit,steps_sum,early,recent_history,6864,6,0.603519099474312
disjoint_refit,steps_sum,early,long_horizon_fingerprint,6864,5,0.6324443125589772
disjoint_refit,steps_sum,early,combined_own_history,6864,8,0.5010820268531848
disjoint_refit,steps_sum,early,cross_domain_history,6864,29,0.7681744684087504
disjoint_refit,steps_sum,late,calendar,7154,3,0.19533282287801518
disjoint_refit,steps_sum,late,lag1_history,7154,4,0.40903715629812776
disjoint_refit,steps_sum,late,short_window_history,7154,5,0.5004442301548325
disjoint_refit,steps_sum,late,recent_history,7154,6,0.4880103896900568
disjoint_refit,steps_sum,late,long_horizon_fingerprint,7154,5,0.6096477290264554
disjoint_refit,steps_sum,late,combined_own_history,7154,8,0.5496823428371473
disjoint_refit,steps_sum,late,cross_domain_history,7154,29,2.0078017335785283
