target,horizon,issue_time,model,n_train,n_test,n_train_users,n_test_users,r2,mae_log,pearson_r
sedentary_duration,tomorrow,evening,calendar_only,13092,7481,639,639,-0.013970102165848264,0.056840393913491154,0.08794577358370799
sedentary_duration,tomorrow,evening,recent_history_only,13092,7481,639,639,0.15400117383190237,0.04494316832857725,0.3959306401491815
sedentary_duration,tomorrow,evening,fingerprint_42d_only,13092,7481,639,639,0.15919557391521522,0.04450113963509957,0.40279067349396536
sedentary_duration,tomorrow,evening,today_partial_only,13092,7481,639,639,0.10816469499262593,0.048920085903536734,0.33473198591027215
sedentary_duration,tomorrow,evening,history_plus_fingerprint,13092,7481,639,639,0.16186013746056027,0.04436870407509702,0.4054280785682548
sedentary_duration,tomorrow,evening,history_fingerprint_plus_today,13092,7481,639,639,0.1721575027093003,0.04363285470054875,0.4168063642111759
sedentary_duration,next_week,morning,calendar_only,12082,6941,636,636,-0.054257144877975394,0.04041691060869193,0.14452316208743374
sedentary_duration,next_week,morning,recent_history_only,12082,6941,636,636,0.6307957696183422,0.02270125666828648,0.7960050539022646
sedentary_duration,next_week,morning,fingerprint_42d_only,12082,6941,636,636,0.6522946805956006,0.022164248653040224,0.8104799433654721
sedentary_duration,next_week,morning,today_partial_only,12082,6941,636,636,0.1195535114702766,0.03710055617001313,0.3944733968574076
sedentary_duration,next_week,morning,history_plus_fingerprint,12082,6941,636,636,0.6616437212999733,0.021864178071203753,0.8154562496027316
sedentary_duration,next_week,morning,history_fingerprint_plus_today,12082,6941,636,636,0.663644803591829,0.021814490968861292,0.8166364362705661
sedentary_duration,next_week,afternoon,calendar_only,12082,6941,636,636,-0.054257144877975394,0.04041691060869193,0.14452316208743374
sedentary_duration,next_week,afternoon,recent_history_only,12082,6941,636,636,0.6307957696183422,0.02270125666828648,0.7960050539022646
sedentary_duration,next_week,afternoon,fingerprint_42d_only,12082,6941,636,636,0.6522946805956006,0.022164248653040224,0.8104799433654721
sedentary_duration,next_week,afternoon,today_partial_only,12082,6941,636,636,0.2224095884960522,0.03462626021341,0.4982930635236299
sedentary_duration,next_week,afternoon,history_plus_fingerprint,12082,6941,636,636,0.6616437212999733,0.021864178071203753,0.8154562496027316
sedentary_duration,next_week,afternoon,history_fingerprint_plus_today,12082,6941,636,636,0.6657218607850363,0.021753498786078997,0.8178469725418601
sedentary_duration,next_week,evening,calendar_only,12082,6941,636,636,-0.054257144877975394,0.04041691060869193,0.14452316208743374
sedentary_duration,next_week,evening,recent_history_only,12082,6941,636,636,0.6307957696183422,0.02270125666828648,0.7960050539022646
sedentary_duration,next_week,evening,fingerprint_42d_only,12082,6941,636,636,0.6522946805956006,0.022164248653040224,0.8104799433654721
sedentary_duration,next_week,evening,today_partial_only,12082,6941,636,636,0.31319850663326687,0.03221491027111263,0.5751270371943935
sedentary_duration,next_week,evening,history_plus_fingerprint,12082,6941,636,636,0.6616437212999733,0.021864178071203753,0.8154562496027316
sedentary_duration,next_week,evening,history_fingerprint_plus_today,12082,6941,636,636,0.6680220360063717,0.02168535468638572,0.8191721591168672
sleep_duration,tomorrow,morning,calendar_only,11895,6871,620,620,-0.0032962412282708797,0.31735091071162513,0.042176702871540336
sleep_duration,tomorrow,morning,recent_history_only,11895,6871,620,620,0.02661445463486478,0.30165659050278654,0.17164411566331622
sleep_duration,tomorrow,morning,fingerprint_42d_only,11895,6871,620,620,0.03792250309141432,0.3011674550138046,0.20012911545235493
sleep_duration,tomorrow,morning,today_partial_only,11895,6871,620,620,-0.0032962412282708797,0.31735091071162513,0.042176702871540336
sleep_duration,tomorrow,morning,history_plus_fingerprint,11895,6871,620,620,0.03691982322282927,0.30157681771659395,0.19784670940822582
sleep_duration,tomorrow,morning,history_fingerprint_plus_today,11895,6871,620,620,0.03691982322282927,0.30157681771659395,0.19784670940822582
sleep_duration,tomorrow,afternoon,calendar_only,11895,6871,620,620,-0.0032962412282708797,0.31735091071162513,0.042176702871540336
sleep_duration,tomorrow,afternoon,recent_history_only,11895,6871,620,620,0.02661445463486478,0.30165659050278654,0.17164411566331622
sleep_duration,tomorrow,afternoon,fingerprint_42d_only,11895,6871,620,620,0.03792250309141432,0.3011674550138046,0.20012911545235493
sleep_duration,tomorrow,afternoon,today_partial_only,11895,6871,620,620,-0.0032962412282708797,0.31735091071162513,0.042176702871540336
sleep_duration,tomorrow,afternoon,history_plus_fingerprint,11895,6871,620,620,0.03691982322282927,0.30157681771659395,0.19784670940822582
sleep_duration,tomorrow,afternoon,history_fingerprint_plus_today,11895,6871,620,620,0.03691982322282927,0.30157681771659395,0.19784670940822582
sleep_duration,tomorrow,evening,calendar_only,11895,6871,620,620,-0.0032962412282708797,0.31735091071162513,0.042176702871540336
sleep_duration,tomorrow,evening,recent_history_only,11895,6871,620,620,0.02661445463486478,0.30165659050278654,0.17164411566331622
sleep_duration,tomorrow,evening,fingerprint_42d_only,11895,6871,620,620,0.03792250309141432,0.3011674550138046,0.20012911545235493
sleep_duration,tomorrow,evening,today_partial_only,11895,6871,620,620,-0.0032962412282708797,0.31735091071162513,0.042176702871540336
sleep_duration,tomorrow,evening,history_plus_fingerprint,11895,6871,620,620,0.03691982322282927,0.30157681771659395,0.19784670940822582
