target,horizon,issue_time,model,n_train,n_test,n_train_users,n_test_users,positive_rate_test,auroc,macro_f1,balanced_accuracy,accuracy
screen_unlock_duration,next_week,afternoon,history_fingerprint_plus_today,15044,8576,695,695,0.4728311567164179,0.9177997404085771,0.8321620190985912,0.832132579814544,0.8326725746268657
screen_unlock_duration,next_week,evening,calendar_only,15044,8576,695,695,0.4728311567164179,0.5104302950118246,0.3229800467841511,0.5003788321986096,0.47329757462686567
screen_unlock_duration,next_week,evening,recent_history_only,15044,8576,695,695,0.4728311567164179,0.9099206306996996,0.823730556795244,0.8234923419439246,0.824393656716418
screen_unlock_duration,next_week,evening,fingerprint_42d_only,15044,8576,695,695,0.4728311567164179,0.9100132523085172,0.8207915110205217,0.8205368234988331,0.8214785447761194
screen_unlock_duration,next_week,evening,today_partial_only,15044,8576,695,695,0.4728311567164179,0.7983940951269741,0.7339368996595679,0.7343382614247635,0.734375
screen_unlock_duration,next_week,evening,history_plus_fingerprint,15044,8576,695,695,0.4728311567164179,0.916570567656458,0.8303697419080642,0.8302703018193491,0.8309235074626866
screen_unlock_duration,next_week,evening,history_fingerprint_plus_today,15044,8576,695,695,0.4728311567164179,0.9187217563413483,0.8323109167453298,0.8323448513049528,0.8327891791044776
steps_sum,tomorrow,morning,calendar_only,13095,7481,639,639,0.49552198903889855,0.6405423417991057,0.3445895820087479,0.5018085136343122,0.5062157465579468
steps_sum,tomorrow,morning,recent_history_only,13095,7481,639,639,0.49552198903889855,0.8188237667204328,0.7393045050962719,0.7394336528565888,0.739740676380163
steps_sum,tomorrow,morning,fingerprint_42d_only,13095,7481,639,639,0.49552198903889855,0.8237491367182412,0.7459250529627626,0.7459462032685981,0.7461569308915921
steps_sum,tomorrow,morning,today_partial_only,13095,7481,639,639,0.49552198903889855,0.7051731073811716,0.6087819682378524,0.6296149566790168,0.6317337254377757
steps_sum,tomorrow,morning,history_plus_fingerprint,13095,7481,639,639,0.49552198903889855,0.825597142231808,0.7465709395335207,0.7466014468109075,0.7468252907365326
steps_sum,tomorrow,morning,history_fingerprint_plus_today,13095,7481,639,639,0.49552198903889855,0.8265426600214523,0.7475181732170947,0.747543211978541,0.7477609945194492
steps_sum,tomorrow,afternoon,calendar_only,13095,7481,639,639,0.49552198903889855,0.6405423417991057,0.3445895820087479,0.5018085136343122,0.5062157465579468
steps_sum,tomorrow,afternoon,recent_history_only,13095,7481,639,639,0.49552198903889855,0.8188237667204328,0.7393045050962719,0.7394336528565888,0.739740676380163
steps_sum,tomorrow,afternoon,fingerprint_42d_only,13095,7481,639,639,0.49552198903889855,0.8237491367182412,0.7459250529627626,0.7459462032685981,0.7461569308915921
steps_sum,tomorrow,afternoon,today_partial_only,13095,7481,639,639,0.49552198903889855,0.7383532193708489,0.6621889620795544,0.6676862719365774,0.6688945328164684
steps_sum,tomorrow,afternoon,history_plus_fingerprint,13095,7481,639,639,0.49552198903889855,0.825597142231808,0.7465709395335207,0.7466014468109075,0.7468252907365326
steps_sum,tomorrow,afternoon,history_fingerprint_plus_today,13095,7481,639,639,0.49552198903889855,0.8274041190780586,0.7502262078494129,0.7502360220548386,0.7504344338992114
steps_sum,tomorrow,evening,calendar_only,13095,7481,639,639,0.49552198903889855,0.6405423417991057,0.3445895820087479,0.5018085136343122,0.5062157465579468
steps_sum,tomorrow,evening,recent_history_only,13095,7481,639,639,0.49552198903889855,0.8188237667204328,0.7393045050962719,0.7394336528565888,0.739740676380163
steps_sum,tomorrow,evening,fingerprint_42d_only,13095,7481,639,639,0.49552198903889855,0.8237491367182412,0.7459250529627626,0.7459462032685981,0.7461569308915921
steps_sum,tomorrow,evening,today_partial_only,13095,7481,639,639,0.49552198903889855,0.764738976905149,0.6912428970243091,0.6939176358795839,0.6948268948001604
steps_sum,tomorrow,evening,history_plus_fingerprint,13095,7481,639,639,0.49552198903889855,0.825597142231808,0.7465709395335207,0.7466014468109075,0.7468252907365326
steps_sum,tomorrow,evening,history_fingerprint_plus_today,13095,7481,639,639,0.49552198903889855,0.8287888008607155,0.7499388751908389,0.7499566840202204,0.7501670899612352
steps_sum,next_week,morning,calendar_only,12085,6941,636,636,0.4860971041636652,0.687695065532713,0.3506190270178223,0.5025554924621053,0.516208039187437
steps_sum,next_week,morning,recent_history_only,12085,6941,636,636,0.4860971041636652,0.9155483920393238,0.8375612801884205,0.837260983702779,0.8379196081256303
steps_sum,next_week,morning,fingerprint_42d_only,12085,6941,636,636,0.4860971041636652,0.9223727879001499,0.8465072468828511,0.8463568268636512,0.8467079671517073
steps_sum,next_week,morning,today_partial_only,12085,6941,636,636,0.4860971041636652,0.7351514217879133,0.618349558523885,0.6396479352239101,0.646736781443596
steps_sum,next_week,morning,history_plus_fingerprint,12085,6941,636,636,0.4860971041636652,0.924002028074979,0.851700610710123,0.8515474125675173,0.851894539691687
steps_sum,next_week,morning,history_fingerprint_plus_today,12085,6941,636,636,0.4860971041636652,0.9242070125461797,0.8524109818983496,0.8522402634037991,0.8526148969889065
steps_sum,next_week,afternoon,calendar_only,12085,6941,636,636,0.4860971041636652,0.687695065532713,0.3506190270178223,0.5025554924621053,0.516208039187437
steps_sum,next_week,afternoon,recent_history_only,12085,6941,636,636,0.4860971041636652,0.9155483920393238,0.8375612801884205,0.837260983702779,0.8379196081256303
steps_sum,next_week,afternoon,fingerprint_42d_only,12085,6941,636,636,0.4860971041636652,0.9223727879001499,0.8465072468828511,0.8463568268636512,0.8467079671517073
steps_sum,next_week,afternoon,today_partial_only,12085,6941,636,636,0.4860971041636652,0.7805038829060899,0.6827787720635181,0.6892973012676799,0.69399222014119
steps_sum,next_week,afternoon,history_plus_fingerprint,12085,6941,636,636,0.4860971041636652,0.924002028074979,0.851700610710123,0.8515474125675173,0.851894539691687
steps_sum,next_week,afternoon,history_fingerprint_plus_today,12085,6941,636,636,0.4860971041636652,0.9245549959127742,0.851706750237216,0.8515634490502664,0.851894539691687
steps_sum,next_week,evening,calendar_only,12085,6941,636,636,0.4860971041636652,0.687695065532713,0.3506190270178223,0.5025554924621053,0.516208039187437
steps_sum,next_week,evening,recent_history_only,12085,6941,636,636,0.4860971041636652,0.9155483920393238,0.8375612801884205,0.837260983702779,0.8379196081256303
steps_sum,next_week,evening,fingerprint_42d_only,12085,6941,636,636,0.4860971041636652,0.9223727879001499,0.8465072468828511,0.8463568268636512,0.8467079671517073
steps_sum,next_week,evening,today_partial_only,12085,6941,636,636,0.4860971041636652,0.8108233047152744,0.7165917828030748,0.7198328832316387,0.7236709407866302
steps_sum,next_week,evening,history_plus_fingerprint,12085,6941,636,636,0.4860971041636652,0.924002028074979,0.851700610710123,0.8515474125675173,0.851894539691687
steps_sum,next_week,evening,history_fingerprint_plus_today,12085,6941,636,636,0.4860971041636652,0.9251228369651396,0.8519982851961251,0.8518598331640779,0.8521826826105748
active_duration,tomorrow,morning,calendar_only,13091,7481,639,639,0.506483090495923,0.5709423369295905,0.3981989904990294,0.508367045564697,0.5028739473332442
active_duration,tomorrow,morning,recent_history_only,13091,7481,639,639,0.506483090495923,0.796744231963027,0.7228813510711565,0.7231201070441979,0.722898008287662
active_duration,tomorrow,morning,fingerprint_42d_only,13091,7481,639,639,0.506483090495923,0.8026978792175675,0.7269037755943009,0.7269783918607979,0.7269081673573051
active_duration,tomorrow,morning,today_partial_only,13091,7481,639,639,0.506483090495923,0.6620881367544242,0.5947548488339187,0.612413778609289,0.6098115225237267
active_duration,tomorrow,morning,history_plus_fingerprint,13091,7481,639,639,0.506483090495923,0.8051553121641108,0.7294353602288379,0.7294821826997064,0.7294479347680791
active_duration,tomorrow,morning,history_fingerprint_plus_today,13091,7481,639,639,0.506483090495923,0.8057835920654159,0.7294249168164744,0.7294509795847991,0.7294479347680791
active_duration,tomorrow,afternoon,calendar_only,13091,7481,639,639,0.506483090495923,0.5709423369295905,0.3981989904990294,0.508367045564697,0.5028739473332442
active_duration,tomorrow,afternoon,recent_history_only,13091,7481,639,639,0.506483090495923,0.796744231963027,0.7228813510711565,0.7231201070441979,0.722898008287662
active_duration,tomorrow,afternoon,fingerprint_42d_only,13091,7481,639,639,0.506483090495923,0.8026978792175675,0.7269037755943009,0.7269783918607979,0.7269081673573051
active_duration,tomorrow,afternoon,today_partial_only,13091,7481,639,639,0.506483090495923,0.7186269657247544,0.6568940360861256,0.661431298675787,0.6600721828632535
active_duration,tomorrow,afternoon,history_plus_fingerprint,13091,7481,639,639,0.506483090495923,0.8051553121641108,0.7294353602288379,0.7294821826997064,0.7294479347680791
active_duration,tomorrow,afternoon,history_fingerprint_plus_today,13091,7481,639,639,0.506483090495923,0.8080578094712784,0.7312908751468385,0.731308833776968,0.7313193423339126
active_duration,tomorrow,evening,calendar_only,13091,7481,639,639,0.506483090495923,0.5709423369295905,0.3981989904990294,0.508367045564697,0.5028739473332442
active_duration,tomorrow,evening,recent_history_only,13091,7481,639,639,0.506483090495923,0.796744231963027,0.7228813510711565,0.7231201070441979,0.722898008287662
active_duration,tomorrow,evening,fingerprint_42d_only,13091,7481,639,639,0.506483090495923,0.8026978792175675,0.7269037755943009,0.7269783918607979,0.7269081673573051
active_duration,tomorrow,evening,today_partial_only,13091,7481,639,639,0.506483090495923,0.7526378248376508,0.6830320127046009,0.6855420134751706,0.6845341531880764
